iter	RMSE
413	541339.3371
414	540787.6924
415	540058.5595
416	539811.161
417	539157.5206
418	538553.5604
419	537495.7075
420	537204.6884
421	536436.02
422	536151.9458
423	535540.7983
424	534715.7856
425	534109.6919
426	533232.6838
427	533185.6671
428	532657.8862
429	532405.2013
430	531641.3956
431	531445.6288
432	530453.1915
433	529885.3404
434	529082.542
435	528984.7122
436	528667.0515
437	528372.6096
438	527931.396
439	527668.3934
440	527256.9846
441	526756.9454
442	526043.5241
443	525700.8002
444	525146.8867
445	523967.0223
446	522754.019
447	522480.7568
448	521588.3655
449	521108.6386
450	520937.5172
451	520491.1018
452	520238.4334
453	519417.603
454	519078.3086
455	518833.1218
456	518384.0124
457	517894.0623
458	517436.376
459	517406.6324
460	516835.5817
461	516596.5528
462	515736.1109
463	515387.1244
464	515359.3279
465	514533.8911
466	513836.8603
467	513508.3417
468	513416.5798
469	513390.7304
470	512697.6681
471	512669.919
472	511604.1689
473	511362.4533
474	510723.8824
475	510407.775
476	509956.1976
477	509586.1104
478	509392.5369
479	509297.6295
480	508568.8283
481	508244.3865
482	508075.8014
483	507897.9074
484	507865.0519
485	506442.8189
486	506208.1466
487	506008.1236
488	505707.9197
489	505004.8133
490	504985.5207
491	504705.6827
492	504629.5659
493	504445.6465
494	504414.1278
495	504248.9203
496	503876.6631
497	503751.0812
498	503716.1417
499	503292.3916
500	502659.6834
501	502472.4858
502	501470.9765
503	501316.9719
504	500939.4899
505	500912.5013
506	500653.6748
507	500142.3774
508	499979.9282
509	499186.8801
510	498988.9247
511	498968.5359
512	498474.3212
513	498044.5608
514	497820.4938
515	497612.6744
516	497468.2563
517	497199.6209
518	496857.7034
519	496593.1254
520	496314.6921
521	495762.8629
522	495241.9441
523	494609.6073
524	494455.1528
525	494201.3347
526	493680.9723
527	492664.0821
528	492321.5287
529	491881.6979
530	491397.5464
531	491216.0899
532	490840.2934
533	490473.0662
534	490448.6322
535	490117.7399
536	489938.7955
537	489858.352
538	489370.5866
539	489043.6969
540	488906.9892
541	488574.7516
542	488494.2765
543	488478.6191
544	488456.3067
545	488442.179
546	487826.8885
547	487582.6163
548	486685.4115
549	486349.2844
550	485667.7142
551	485439.6607
552	485315.7547
553	484710.0016
554	483939.3692
555	483922.4143
556	483898.2035
557	483763.126
558	483465.0133
559	483076.7072
560	482833.4205
561	482672.2866
562	482264.3631
563	482246.3186
564	481914.2473
565	481777.0398
566	481756.9965
567	481418.4498
568	481263.8388
569	481140.3773
570	481020.9659
571	481011.9286
572	480746.6078
573	480622.8719
574	480182.4107
575	479881.9757
576	479866.8672
577	479241.1065
578	478354.5345
579	477721.4502
580	477600.4284
581	477111.7708
582	476608.4237
583	476058.5717
584	475932.8187
585	475843.4635
586	475461.8085
587	475212.4332
588	475095.5338
589	474972.3183
590	474750.3635
591	474475.5433
592	474453.9791
593	474405.5576
594	474290.6951
595	474176.7447
596	474075.4469
597	473699.3804
598	473094.3982
599	472732.2694
600	472489.7811
601	472187.5523
602	472043.462
603	471519.4036
604	471407.3281
605	470907.4405
606	470552.9209
607	470063.3572
608	470047.3976
609	469564.1967
610	469542.676
611	469525.8069
612	468106.5187
613	468093.3128
614	467594.7469
615	467582.2654
616	466977.3975
617	466414.5996
618	466167.1028
619	466066.7371
620	465945.6814
621	465800.1777
622	465370.7301
623	464878.6452
624	464330.4416
625	463678.2943
626	463496.9373
627	462931.9892
628	462913.0087
629	462804.7031
630	462335.9655
631	461783.4786
632	461271.1171
633	460726.499
634	460550.23
635	459960.1161
636	459167.9784
637	459157.1531
638	458801.0763
639	458709.1703
640	458618.0436
641	458466.786
642	458060.5777
643	457446.0987
644	457431.202
645	456689.9339
646	456525.8814
647	456114.7258
648	456100.2901
649	455974.0781
650	455724.0962
651	455068.4095
652	454919.2373
653	454382.2635
654	453918.8011
655	453145.4853
656	452659.3697
657	452561.6136
658	452253.0905
659	451897.8967
660	451804.8978
661	451309.6926
662	450777.5348
663	450291.4052
664	450201.8154
665	449773.7755
666	449057.3908
667	448969.415
668	448643.6132
669	448315.3307
670	448143.3697
671	447708.2569
672	447584.8679
673	447021.1061
674	446706.9229
675	446372.8127
676	446359.3756
677	446267.4708
678	445971.3637
679	445389.7572
680	445379.17
681	444800.8465
682	444223.8725
683	444039.2392
684	443497.8013
685	443201.3217
686	442773.1491
687	442254.1309
688	442074.5952
689	441718.2899
690	441635.7966
691	441307.9257
692	440985.9139
693	440668.4022
694	440383.712
695	440236.5994
696	439834.5389
697	439765.0925
698	439685.2507
699	439416.937
700	439093.623
701	438447.2538
702	438375.3923
703	437912.7348
704	437607.7639
705	437213.5749
706	436715.2853
707	436463.3713
708	436108.5966
709	435637.4615
710	435628.3311
711	435396.0665
712	435231.1172
713	434792.3882
714	434656.4218
715	434438.425
716	434153.8758
717	433653.1898
718	433388.961
719	433175.0834
720	433010.2694
721	432621.9837
722	432445.7969
723	432181.9645
724	431787.1058
725	431779.2022
726	431524.2871
727	431448.3587
728	431196.0317
729	431134.1647
730	430409.7442
731	430133.7762
732	430049.3024
733	429765.9615
734	429386.4702
735	428931.4708
736	428820.7294
737	428756.3186
738	428328.6365
739	428262.9712
740	427893.113
741	427608.8506
742	427170.1764
743	426741.684
744	426599.1262
745	426456.6143
746	426017.4562
747	425004.222
748	425000.2222
749	424563.0941
750	424082.3624
751	423490.8885
752	423375.6755
753	422943.1624
754	422929.3464
755	422472.8417
756	422343.2779
757	421905.5197
758	421893.0129
759	421719.0006
760	421522.2384
761	421231.6059
762	420975.2373
763	420915.1462
764	420394.3707
765	420220.5206
766	419908.8794
767	419137.967
768	419112.8049
769	418807.3205
770	418609.0074
771	418427.6074
772	418364.4592
773	417935.994
774	417147.2203
775	416813.3081
776	416686.2944
777	416676.9801
778	416383.9883
779	416323.7046
780	415902.9074
781	415728.5696
782	415642.2275
783	415401.4191
784	415294.9663
785	415225.4135
786	415153.0532
787	414818.0207
788	414331.5729
789	413647.9054
790	413516.8905
791	413464.4567
792	413211.4913
793	413004.6574
794	412631.6304
795	412236.7466
796	412152.5564
797	412019.4007
798	412014.8799
799	411693.4156
800	411569.3439
801	411340.1986
802	410934.2527
803	410678.2278
804	410309.1526
805	410253.9087
806	410051.0755
807	409855.6816
808	409444.1493
809	409386.0674
810	409002.4525
811	408819.4323
812	408370.2559
813	408046.7015
814	407684.261
815	407673.1862
816	407657.0846
817	407201.5635
818	407145.9687
819	406706.6256
820	405736.7841
821	405563.2509
822	405550.2332
823	405303.0037
824	404928.1093
825	404920.1453
826	404613.5161
827	404522.08
828	403952.7713
829	403836.4622
830	403407.1893
831	402992.931
832	402462.9369
833	402262.0344
834	402062.4093
835	401563.9518
836	401117.0195
837	400566.9079
838	400557.8491
839	400251.5559
840	400132.8658
841	400040.7584
842	399609.8247
843	399087.9612
844	399028.2607
845	398661.8153
846	398591.2916
847	398452.5966
848	398443.3697
849	398306.4044
850	397911.3038
851	397812.9001
852	396882.0139
853	396729.5435
854	396494.5323
855	396227.0583
856	396158.0749
857	396147.974
858	396141.074
859	396029.0456
860	395959.1631
861	395446.667
862	395174.0457
863	394366.0304
864	394150.0861
865	393744.0018
866	393635.2284
867	393150.7565
868	392783.0911
869	392296.4841
870	392014.0212
871	391858.1415
872	391816.1141
873	391254.1053
874	390997.1781
875	390692.4447
876	390676.4645
877	390666.499
878	390292.9159
879	390054.2276
880	389961.1955
881	389653.7937
882	389134.3723
883	389083.9009
884	388714.697
885	388711.781
886	388663.648
887	388132.0037
888	387899.282
889	387880.1193
890	387800.6415
891	387473.5836
892	387368.3125
893	387069.502
894	387059.4679
895	386734.5343
896	386360.6415
897	385890.3713
898	385880.8699
899	385624.6143
900	385609.1189
901	385449.8125
902	385080.4701
903	385046.3979
904	385035.9579
905	384969.1949
906	384668.4278
907	384589.6416
908	384462.7396
909	384179.8333
910	383784.8888
911	383739.6373
912	383492.5701
913	383105.8573
914	383086.6369
915	382593.785
916	382586.6121
917	382219.143
918	381933.9981
919	381841.0184
920	381649.4591
921	381401.5168
922	381122.1962
923	381014.0679
924	380860.9904
925	380742.408
926	380431.0401
927	380125.7915
928	380023.4528
929	379623.797
930	379241.8359
931	379098.0708
932	378763.1616
933	378507.8996
934	378377.684
935	378121.9191
936	378014.9388
937	377565.0588
938	376741.0217
939	376457.7238
940	376207.7165
941	375900.2532
942	375856.1511
943	375817.1498
944	375656.9358
945	375577.4681
946	375477.7002
947	375173.8673
948	375086.4141
949	374860.6042
950	374744.9829
951	374411.1931
952	374303.2126
953	374017.1317
954	373664.6085
955	372685.1755
956	372590.0342
957	372430.2918
958	372143.2465
959	371937.987
960	371926.7892
961	371711.5194
962	371335.7436
963	371209.7105
964	370667.7166
965	370659.8746
966	370552.5135
967	370428.7346
968	370344.4256
969	369930.1503
970	369735.0062
971	369262.5201
972	369181.6191
973	368879.1443
974	368818.5537
975	368225.3016
976	367910.9094
977	367766.661
978	367491.7599
979	367389.5338
980	367351.7949
981	367345.6218
982	367099.5188
983	366809.4185
984	366768.1558
985	366758.8413
986	366517.0025
987	366229.6935
988	366078.9631
989	365904.4088
990	365701.0526
991	365688.3453
992	365638.0385
993	365578.8423
994	365296.4065
995	365243.6
996	365183.912
997	364753.2964
998	364520.2135
999	364250.1656
